,file,smiles
223,20030788,C1(C(C(OC(C1([H])[H])(Cl)[H])([H])[H])([H])[H])([H])[H]
224,10027726,C=12N(C3=C(OC([H])([H])[H])C(=C(C(=C3C42C5(C(C(C1C(=O)OC([H])([H])[H])(C(C(N5C(C4([H])[H])([H])[H])([H])[H])([H])C(C([H])([H])[H])(O[H])[H])[H])([H])[H])[H])[H])[H])[H])[H]
226,89644,C1(C(C(C(C(C1([Si](Cl)(Cl)Cl)[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
227,10017102,C1(C(C(C(C(C1(C(=O)O[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(=O)O[H])[H]
228,20212727,C1(=C(C(=C(C2=C1C(=O)N(C(N2[H])=S)[H])[H])[H])Br)[H]
231,20045605,C(#N)C(=C(N(C([H])([H])[H])C([H])([H])[H])[H])[H]
233,20027600,C=1(C(=C(C(=C(C1[H])[H])C=2C(=C(N=C(C2[H])[H])[H])[H])[H])[H])[H]
234,76462,C=12C(=O)N(C(C1C(=C(C(=C2[H])[H])[H])[H])=O)C3(C(C(OC3(C(I)([H])[H])[H])([H])[H])([H])[H])[H]
235,20031183,C1(=C(C(=C(C=2N1N=NN2)[H])[H])C(=O)O[H])[H]
236,20045239,C1(SC(S1)=C(C#N)C(=O)OC(C([H])([H])[H])([H])[H])=C(C#N)C(=O)OC(C([H])([H])[H])([H])[H]
237,20182130,C1(=C(C(C(OC1(C([H])([H])[H])C([H])([H])[H])(OC(C([H])([H])[H])(C([H])([H])[H])C#C[H])[H])(C([H])([H])[H])C([H])([H])[H])[H])[H]
238,76469,C1(C(C(C(C(C1([H])[H])(OC(C([H])([H])[H])=O)[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H]
239,20182405,C1(=C(C(=C(C(=C1C(=C(C(=O)OC2(C(C(C(C2([H])[H])([H])[H])(O[H])[H])(O[H])[H])[H])[H])[H])[H])[H])O[H])O[H])[H]
240,20165545,N1(C2(C(C(C1(C(C(C2([H])[H])(OC(=O)C(C(O[H])([H])[H])(C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])[H])[H])([H])[H])[H])([H])[H])(O[H])[H])[H])C([H])([H])[H]
242,10018583,C1(=C(C(=C(C2=C1C34C(N2[H])=C(C(C5(C3(N(C(C(C5(F)[H])(Br)[H])([H])[H])C(C4([H])[H])([H])[H])[H])C(C([H])([H])[H])([H])[H])([H])[H])C(=O)OC([H])([H])[H])[H])[H])[H])[H]
244,20025048,C1(OC=2C(=C3OC(=C(C3=C(C2C(=C1[H])[H])OC(C(C(C([H])([H])[H])(C=4OC(C(C4[H])=O)(C([H])([H])[H])C([H])([H])[H])O[H])([H])[H])([H])[H])[H])[H])[H])=O
245,20180057,C1(N(C(=C(C(C1([H])[H])=O)[H])[H])[H])(C2=C(C(=C(O2)[H])[H])[H])[H]
246,20054364,C=12N=C(C(=[N+](C1C(=C(C(=C2[H])[H])[H])[H])[O-])[H])[H]
248,10017603,C1(=C(C(=C(C2=C1OC(C(=C2[H])C3=C(C(=C(C(=C3[H])OC([H])([H])[H])OC([H])([H])[H])[H])[H])=O)[H])OC([H])([H])[H])OC([H])([H])[H])[H]
251,20218195,C1(=C(C(=C(C2=C1C(C(N(C2(C3=C(C(=C(C(=C3[H])[H])C#N)[H])[H])[H])[H])([H])[H])([H])[H])[H])OC([H])([H])[H])OC([H])([H])[H])[H]
252,20028279,C12(C(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])OC2([H])[H]
253,20039685,C1(=C(C(=C(C(=C1C(=O)O[H])OC([H])([H])[H])OC([H])([H])[H])[H])[H])[H]
255,20033031,C=1(C(=C(C(=C(C1OC([H])([H])[H])[H])[H])[H])C(Cl)([H])[H])[H]
256,20123978,C1(=C(C(=C(C(=C1O[H])[H])OC([H])([H])[H])[H])O[H])[H]
257,20026034,C1(=C(C(=C(C2=C1C(=C(N2[H])[H])C(=O)[H])[H])[H])O[H])[H]
259,20108952,C1(=C(C(=C(C2=C1C(=NN2C=3C(=C(C(=C(C3[H])[H])[H])[H])[H])[H])[H])[H])[H])[H]
