Original_SMILES,Canonical_SMILES,Source_Dataset,Source_ID
C1(=C(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H],C1=CCCCCC1,nmrdb,10016470
C1(=C(C(C(C(C(C(=C1[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H],C1=CCCCCC=C1,nmrdb,10016477
C1(=C(C(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H],C1=CCCCCCC1,nmrdb,10016474
C1(=C(C(OC1([H])[H])([H])[H])[H])[H],C1=CCOC1,nmrdb,9668
C1(OC(C(C(=C1[H])[H])([H])[H])([H])[H])([H])[H],C1=CCOCC1,nmrdb,10025339
C1(=C(C(OC(OC1([H])[H])([H])[H])([H])[H])[H])[H],C1=CCOCOC1,nmrdb,10016165
C1(C(C1([H])[H])([H])[H])([H])[H],C1CC1,nmrdb,30000705
C1(C(C2(C1([H])[H])OC2([H])[H])([H])[H])([H])[H],C1CC2(C1)CO2,nmrdb,20028282
C1(OC(C(C2(C1([H])[H])C(O2)([H])[H])([H])[H])([H])[H])([H])[H],C1CC2(CCO1)CO2,nmrdb,20028280
C1(C2(C(C(C(C1([H])[H])(C(C2([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H],C1CC2CCC1CC2,nmrdb,10016402
C1(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(N(C2(C(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H],C1CCC(NC2CCCCC2)CC1,nmrdb,10008638
C1(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H],C1CCC1,nmrdb,30000704
C12(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])C(O2)([H])[H],C1CCC2(C1)CO2,nmrdb,10016154
C1(C(C(C2(C(C1([H])[H])([H])[H])C(O2)([H])[H])([H])[H])([H])[H])([H])[H],C1CCC2(CC1)CO2,nmrdb,10016155
C1(C2=C(C(C(C1([H])[H])([H])[H])([H])[H])C(C(C2([H])[H])([H])[H])([H])[H])([H])[H],C1CCC2=C(C1)CCC2,nmrdb,75719
C1(C(C(C2(C1(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H],C1CCC2CCCC2C1,nmrdb,30000652
C1(C2(C(C(C(C1([H])[H])([H])[H])([H])[H])(C(C(C2([H])[H])([H])[H])([H])[H])[H])[H])([H])[H],C1CCC2CCCC2C1,nmrdb,30000653
C1(C(C(C(C2(C1(C(C(C2([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H],C1CCC2CCCC2C1,nmrdb,10016397
C1(OC2(C(OC(C(OC(C(OC3(C(OC(C(OC1([H])[H])([H])[H])([H])[H])(C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H],C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,nmrdb,20212412
C1(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],C1CCCC1,nmrdb,10005925
C12(C(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])OC2([H])[H],C1CCCC2(CC1)CO2,nmrdb,20028279
C1(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],C1CCCCC1,nmrdb,10811
C1(C(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],C1CCCCCC1,nmrdb,10812
C1(C(C(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],C1CCCCCCC1,nmrdb,30000703
C1(C(C(C(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],C1CCCCCCCC1,nmrdb,30000702
C1(C(C(C(OC(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],C1CCCOCC1,nmrdb,10016083
[N+]12(C(C3(C(N4C(C(C(C(C4(C(C1([H])[H])(C3([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H],C1CCN2CC3CC(C[NH+]4CCCCC34)C2C1,nmrdb,30085511
C1(C(C(C(N2C1(C(C(C2([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H],C1CCN2CCCC2C1,nmrdb,10016128
N1(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H],C1CCNC1,nmrdb,10019915
